start,end,cost,route,direction,start_stop,Stops,seg_length,route_leng,ratio,length_z,straight,leng/str,azi_diff,length
"121.542278, 25.01576","121.540464, 25.01415156",0.002287400625745,"672","1","19",19_20,0.002423082178400,0.286859747101153,0.008446922940170,-0.464190687232823,0.002424391724463,0.999459845515288,"0",254.63
"121.540464, 25.01415156","121.538069443, 25.0121089589",0.002972970292451,"672","1","20",20_21,0.003147369957966,0.286859747101153,0.010971807615993,-0.221469751995521,0.003147399142633,0.999990727370351,"0",330.95
"121.538069443, 25.0121089589","121.523431, 25.003877",0.015752521461369,"672","1","21",21_22,0.016939084832829,0.286859747101153,0.059050058448442,4.400364313680964,0.016794319511680,1.008619897998686,"10",1753.50
"121.523431, 25.003877","121.522296, 25.00158",0.002563514570056,"672","1","22",22_23,0.002634144827757,0.286859747101153,0.009182692428534,-0.393460067317783,0.002562115141832,1.028113368032889,"42",285.37
"121.522296, 25.00158","121.5208, 25.00002",0.002742249550998,"672","1","23",23_24,0.002858417361527,0.286859747101153,0.009964511892701,-0.318302594445318,0.002161392143967,1.322489012234681,"82",305.27
"121.5208, 25.00002","121.51834, 25.00023",0.002246677433588,"672","1","24",24_25,0.002473034687871,0.286859747101153,0.008621058593483,-0.447450766778148,0.002468947144026,1.001655581754642,"12",250.10
"121.51834, 25.00023","121.5165323, 24.99862597",0.002515268259438,"672","1","25",25_26,0.002639511956044,0.286859747101153,0.009201402367247,-0.391661452962854,0.002416752269255,1.092173157184027,"47",280.00
"121.5165323, 24.99862597","121.515268768, 24.9970684513",0.001922959548117,"672","1","26",26_27,0.002007526738161,0.286859747101153,0.006998286648607,-0.603450257728639,0.002005586737952,1.000967298084048,"0",214.06
"121.515268768, 24.9970684513","121.5125768, 24.99403299",0.003888701281209,"672","1","27",27_28,0.004058125881317,0.286859747101153,0.014146724740317,0.083739773451608,0.004057180772825,1.000232947099160,"1",432.89
"121.5125768, 24.99403299","121.512965, 24.992332",0.002861010840480,"672","1","28",28_29,0.003027890616322,0.286859747101153,0.010555299748119,-0.261509275460549,0.001744725256337,1.735454109650702,"127",318.49
"121.512965, 24.992332","121.516141, 24.991961",0.002912283470041,"672","1","29",29_30,0.003206964460057,0.286859747101153,0.011179555488230,-0.201498638730145,0.003197595502870,1.002930000739013,"3",324.19
"121.516141, 24.991961","121.5192959, 24.99145231",0.002922157522792,"672","1","30",30_31,0.003208189543015,0.286859747101153,0.011183826156981,-0.201088092964138,0.003195646965198,1.003924894693710,"12",325.29
"121.5192959, 24.99145231","121.524836, 24.990204",0.005204454620568,"672","1","31",31_32,0.005707259381875,0.286859747101153,0.019895643915011,0.636391960716432,0.005678995145811,1.004976978380479,"14",579.36
